=== sofia_trace: ioctl + segv tracer ===
[tracer] child started, tracing syscalls...
IOC #106 fd=13 cmd=0x40045932 arg=0x7e819744 = 0x0
IOC #107 fd=17 cmd=0x40045910 arg=0x7e819764 = 0x0
IOC #108 fd=17 cmd=0x00005930 arg=0x00000140 = 0x0
IOC #109 fd=17 cmd=0x40045932 arg=0x7e81974c = 0x0
IOC #110 fd=17 cmd=0x40045917 arg=0x7e819774 = 0x0
IOC #111 fd=13 cmd=0x00005904 arg=0x00bb32b0 = 0x0
IOC #112 fd=9 cmd=0x80047652 arg=0x00bb31e4 = 0x0
IOC #113 fd=9 cmd=0x80047670 arg=0x7e819774 = 0x0
IOC #114 fd=9 cmd=0x80046920 arg=0x7e819754 = 0x0
IOC #115 fd=9 cmd=0x40046921 arg=0x7e819748 = 0x0
IOC #116 fd=9 cmd=0x80047301 arg=0x7e8196c4 = 0x0
IOC #117 fd=9 cmd=0x80047302 arg=0x7e819708 = 0x0
IOC #118 fd=9 cmd=0x40046921 arg=0x7e81974c = 0x0
IOC #119 fd=9 cmd=0x40047303 arg=0x990b4120 = 0x0
IOC #120 fd=9 cmd=0x4004730b arg=0x7e819798 = 0x0
IOC #121 fd=9 cmd=0x80047301 arg=0x7e819680 = 0x0
IOC #122 fd=9 cmd=0x40047304 arg=0x01388000 = 0x0
IOC #123 fd=9 cmd=0x80047304 arg=0x7e819750 = 0x0
IOC #124 fd=9 cmd=0x80047305 arg=0x7e819730 = 0x0
IOC #125 fd=9 cmd=0x80047670 arg=0x7e819774 = 0x0
IOC #126 fd=9 cmd=0x4004767b arg=0x00000000 = 0x0
IOC #127 fd=9 cmd=0x80047670 arg=0x7e819734 = 0x0
IOC #128 fd=9 cmd=0x80047670 arg=0x7e8196a8 = 0x0
IOC #129 fd=9 cmd=0x80047674 arg=0x7e819620 = 0x0
IOC #130 fd=9 cmd=0x80047652 arg=0x7e8196ac = 0x0
IOC #131 fd=9 cmd=0x40047673 arg=0x7e819620 = 0x0
IOC #132 fd=9 cmd=0x40047687 arg=0x7e8196f4 = 0x0
IOC #133 fd=9 cmd=0x40047683 arg=0x7e81971c = 0x0
IOC #134 fd=9 cmd=0x80047670 arg=0x7e81964c = 0x0
IOC #135 fd=9 cmd=0x80047670 arg=0x7e819610 = 0x0
IOC #136 fd=9 cmd=0x80047674 arg=0x7e819588 = 0x0
IOC #137 fd=9 cmd=0x80047652 arg=0x7e819614 = 0x0
IOC #138 fd=9 cmd=0x40047673 arg=0x7e819588 = 0x0
IOC #139 fd=9 cmd=0x40046533 arg=0x7e819644 = 0x0
IOC #140 fd=9 cmd=0x40046528 arg=0x00baea54 = 0x0
IOC #141 fd=9 cmd=0xc0046540 arg=0x00baea64 = 0x0
IOC #142 fd=9 cmd=0x80047670 arg=0x7e819608 = 0x0
IOC #143 fd=9 cmd=0x80047674 arg=0x7e819580 = 0x0
IOC #144 fd=9 cmd=0x80047652 arg=0x7e81960c = 0x0
IOC #145 fd=9 cmd=0x40047673 arg=0x7e819580 = 0x0
IOC #146 fd=9 cmd=0x4004653f arg=0x00baea64 = 0x0
IOC #147 fd=9 cmd=0x40046538 arg=0x7e81963c = 0x0
IOC #148 fd=9 cmd=0xc0046545 arg=0x7e819640 = 0x0
IOC #149 fd=9 cmd=0x40046544 arg=0x7e819640 = 0x0
IOC #150 fd=9 cmd=0x80047670 arg=0x7e81964c = 0x0
IOC #151 fd=9 cmd=0x80047670 arg=0x7e819610 = 0x0
IOC #152 fd=9 cmd=0x80047674 arg=0x7e819588 = 0x0
IOC #153 fd=9 cmd=0x80047652 arg=0x7e819614 = 0x0
IOC #154 fd=9 cmd=0x40047673 arg=0x7e819588 = 0x0
